"player_id","slot_q"
"ammo","skill_ammo_q"
"banner","skill_banner_q"
"blacksmith","skill_blacksmith_q"
"butcher","skill_saw_path"
"executioner","skill_executioner_q"
"gambler","skill_gambler_q"
"glacier","skill_glacier_q"
"goo","skill_goo_q"
"herder","skill_herder_loop_refactored"
"hunter","skill_hunter_q"
"illusionist","skill_illusionist_q"
"jailer","skill_jailer_q"
"medic","skill_medic_q"
"merchant","skill_merchant_q"
"midas","skill_midas_q"
"necro","skill_necro_q"
"new_pyro","skill_new_pyro_q"
"new_tempest","skill_new_tempest_q"
"new_totem","skill_new_totem_q"
"paladin","skill_paladin_q"
"plague","skill_plague_q"
"pyro","skill_fire_path_refactored"
"sapper","skill_mine_path_refactored"
"swarm","skill_swarm_q"
"tesla","skill_tesla_q"
"train","skill_train_q"
"turret_eng","skill_turret_q"
"vacuum","skill_vacuum_q"
"vampire","skill_vampire_q"
"voodoo","skill_voodoo_q"
"weaver","skill_web_weave_refactored"
"wind","skill_wind_path_refactored"
