"gd","status","path_ref_count","class_name","class_ref_count","sample_path_ref","sample_class_ref"
"resouce/waves/wave_unit.gd","likely_unused","0","WaveUnit","0","",""
"scenes/ui/energy_bar_auto_setup.gd","likely_unused","0","","0","",""
"scenes/unit/enemy/charge_behavior.gd","likely_unused","0","ChargeBehavior","0","",""
"scripts/generate_full_weapon_csv.gd","likely_unused","0","","0","",""
"tools/assign_character_weapons.gd","likely_unused","0","","0","",""
"tools/check_shop_usage.gd","likely_unused","0","","0","",""
"tools/cleanup_csv_tool.gd","likely_unused","0","","0","",""
"tools/create_bond_tool.gd","likely_unused","0","","0","",""
"tools/create_item_tool.gd","likely_unused","0","","0","",""
"tools/create_weapon_scenes_tool.gd","likely_unused","0","","0","",""
"tools/setup_dual_shop.gd","likely_unused","0","","0","",""
"tools/test_enemy_creation.gd","likely_unused","0","","0","",""
