skill_id,energy_cost,cooldown,fixed_segment_length,dash_speed,energy_per_10px,energy_threshold_distance,energy_scale_multiplier,base_line_duration,desc_q_line,desc_q_circle,desc_e,tags,param1,param1_note,param2,param2_note,param3,param3_note,param4,param4_note,param5,param5_note,param6,param6_note,param7,param7_note,param8,param8_note,param9,param9_note,param10,param10_note
-1,能量消耗,冷却时间,线段长度,冲刺速度,每10px能量,能量阈值距离,能量倍率,基础留存,Q线段描述,Q闭合描述,E描述,标签,参数1,参数1说明,参数2,参数2说明,参数3,参数3说明,参数4,参数4说明,参数5,参数5说明,参数6,参数6说明,参数7,参数7说明,参数8,参数8说明,参数9,参数9说明,参数10,参数10说明
skill_dash,5,,,,,,,,,,active,400,dash_distance,2000,dash_speed,20,dash_damage,2,dash_knockback
skill_minimalist_space,0,0,,,0.4,,,,按住 Space 持续蓄弦；自交立刻熔断，松开后按线长向两侧膨胀出巨型剑气。,,,space|active|drawing
skill_minimalist_e,40,8,,,,,,,,,引爆场上唯一的熔毁切痕，释放横向震波并附带硬直与击退。,e|active|burst
skill_collapse_space,10,0.2,,,0,,,,按住 Space 再按左键，以角色脚下拉出极短光弦；超出长度上限会短路失败。,成功闭合后在几何中心生成奇点陷阱；开放废线直接失效。,,"space|active|drawing|closure"
skill_collapse_e,30,6,,,,,,,,,引爆所有激活奇点，形成重力井并持续牵引、减速范围内目标。,e|active|control
skill_parasite_space,0,0,,,0,,,,按住 Space 即时划出开放线，给路径附近目标播种寄生并立刻焚毁线段。,无闭合判定，所有轨迹统一按开放线处理。,,"space|active|drawing|parasite"
skill_parasite_e,40,8,,,,,,,,,催化全场寄生宿主；若因催化致死，将继续感染并拉拽附近健康目标。,e|active|spread
skill_arc_space,5,0,,,0,,,,按住右键起笔，若鼠标离角色超过250px则直接拦截；松开后沿光轨高速穿梭并切割路径上的所有敌人。,成功首尾闭合时进入持续绕圈的死亡离心机状态；再次右键或能量耗尽后弹出。,,space|active|drawing|mobility
skill_arc_e,25,6,,,,,,,,,仅可在穿梭/绕圈期间使用：强制脱离当前轨道，在原地爆破并顺着切线惯性滑出安全区。,e|active|mobility|burst
skill_overtone_space,0,0,,,1,,,,按住右键拖拽留下一根持续10秒的紧绷光弦；任何角色正常走位或冲刺穿过它都会向前拨出高频音爆。,成功闭合时留下可被冲刺踩响的共鸣鼓面；鼓响后会为全队回蓝并强控周围敌人。,,"space|active|drawing|overtone"
skill_overtone_e,30,8,,,,,,,,,将全场属于泛音的光弦沿当前方向整体平移收缩，并把被刮中的敌人朝自己拖拽。,e|active|control|overtone

skill_phalanx_space,0,0,,,1,,,,按住右键持续画线；开线留下可反弹敌人的斥力屏障，闭合后会在几何中心生成高压弹球方阵。,"space|active|drawing|phalanx"
skill_phalanx_e,30,8,,,,,,,,,瞬间收回全部开线屏障；屏障会像除雪铲一样高速掠过场地，把沿途敌人甩向两侧并启动连锁保龄球碰撞。,"e|active|control|phalanx"
