player_id,sprite_path,scene_path,scale_x,scale_y,color_r,color_g,color_b,color_a,z_index
silk,res://assets/sprites/Players/Player_5.png,res://scenes/unit/players/player_silk.tscn,1,1,1,1,1,1,1
-1,sprite_path,scene_path,scale_x,scale_y,color_r,color_g,color_b,color_a,z_index
minimalist,res://assets/sprites/Players/Player_2.png,res://scenes/unit/players/player_minimalist.tscn,1,1,1,1,1,1,1
collapse,res://assets/sprites/Players/Player_8.png,res://scenes/unit/players/player_collapse.tscn,1,1,1,1,1,1,1
parasite,res://assets/sprites/Players/Player_7.png,res://scenes/unit/players/player_parasite.tscn,1,1,1,1,1,1,1
joule,res://assets/sprites/Players/Player_4.png,res://scenes/unit/players/player_joule.tscn,1,1,1,1,1,1,1
arc,res://assets/sprites/Players/Player_6.png,res://scenes/unit/players/player_arc.tscn,1,1,1,1,1,1,1
overtone,res://assets/sprites/Players/Player_3.png,res://scenes/unit/players/player_overtone.tscn,1,1,1,1,1,1,1
phalanx,res://assets/sprites/Players/Player_1.png,res://scenes/unit/players/player_phalanx.tscn,1,1,1,1,1,1,1
